n,Selection Sort Time,Bubble Sort Time
10,7.915000e-07,7.836000e-07
20,1.336700e-06,1.467300e-06
50,6.940300e-06,5.132200e-06
100,1.112710e-05,1.306730e-05
200,3.289030e-05,4.295160e-05
500,1.861760e-04,3.148201e-04
1000,6.887931e-04,1.035288e-03
2000,2.660102e-03,3.724840e-03
5000,1.660508e-02,2.041424e-02
10000,6.711898e-02,7.703043e-02
