n,Linear Search Time,Binary Search Time
10,3.192190e-07,3.048530e-07
20,3.144500e-07,3.054490e-07
50,4.262390e-07,3.281810e-07
100,5.722180e-07,3.258020e-07
200,6.651130e-07,3.276630e-07
500,9.875030e-07,3.260590e-07
1000,1.453717e-06,3.354480e-07
2000,2.421836e-06,3.422900e-07
5000,5.763146e-06,3.581130e-07
10000,1.059673e-05,3.678240e-07
